,Right Prob,Right Average Return,Right Hist Stddev,Right Sharpe,Right Winrate,Left Prob,Left Average Return,Left Hist Stddev,Left Sharpe,Left Winrate
neg_macd_30m_12h,0.00844278381642512,0.003235360119607899,0.01243579431909959,0.2601651359446217,0.589181940098346,0.00703125,-0.0015956284578920398,0.008740052720081923,-0.18256508387252424,0.5882984433709071
neg_macd_30m_60d,0.0,,,,,0.0,,,,
neg_macd_30m_7d,0.002521135265700483,0.011105321491890951,0.01688840608521015,0.6575707284547311,0.8083832335329342,0.003283514492753623,-0.002692313161315213,0.0038206770025919234,-0.7046691357287634,0.7977011494252874
neg_macd_hist_12h_7d_30m,0.007367149758454106,0.002977876935836543,0.011243854527220118,0.2648448473454931,0.5988729508196722,0.006419836956521739,-0.0022616237767955133,0.008577973662975143,-0.26365478207951304,0.6114050558495003
neg_macd_hist_30m_30d_90d,0.0,,,,,0.0,,,,
neg_macd_hist_30m_3d_7d,0.002902324879227053,0.011947370259356282,0.011982511079674244,0.997067324195713,0.8556566970091027,0.005076237922705314,0.0005807018792000013,0.007971703649652252,0.07284539224251432,0.504089219330855
neg_vwap_deviation_15d,0.0008114432367149759,0.026651823934994715,0.007589931105043344,3.5114711274895707,1.0,0.0020229468599033814,-0.0026117769493183506,0.005066440514252023,-0.5155053023856407,0.7798507462686567
neg_vwap_deviation_1d,0.004404438405797102,0.010961849516506982,0.01327400717827653,0.8258131376067439,0.7712082262210797,0.0062047101449275366,-0.003512433949298033,0.009531303743905576,-0.36851558230361964,0.7262773722627737
neg_vwap_deviation_30d,0.0,,,,,0.0,,,,
neg_vwap_deviation_7d,0.004170440821256039,0.008190474552093947,0.016436325474644457,0.49831542729723893,0.709502262443439,0.0,,,,
